"","...1","individual","status","prediction","binary","cluster","mean_dom","n_degs","neurotransmitter"
"1",0,"A12D","E",0.224571776286765,0,0,0.231802046631143,46,"Mixed"
"2",1,"A22D","D",0.135361030317901,0,0,0.231802046631143,46,"Mixed"
"3",2,"A25D","D",0.0100233963757234,0,0,0.231802046631143,46,"Mixed"
"4",3,"C21D","D",0.0614655072259423,0,0,0.231802046631143,46,"Mixed"
"5",4,"T11D","E",0.470777037408629,0,0,0.231802046631143,46,"Mixed"
"6",5,"T13D","D",0.278105473140794,0,0,0.231802046631143,46,"Mixed"
"7",6,"T14D","D",0.620268335904542,1,0,0.231802046631143,46,"Mixed"
"8",7,"T17D","NF",0.0169509136826093,0,0,0.231802046631143,46,"Mixed"
"9",8,"T19D","D",0.0239490288113183,0,0,0.231802046631143,46,"Mixed"
"10",9,"T5D","D",0.49344155464178,0,0,0.231802046631143,46,"Mixed"
"11",0,"A12D","E",0.0715951784179516,0,1,0.0332424215663949,61,"Glial"
"12",1,"A22D","D",0.0521075415549724,0,1,0.0332424215663949,61,"Glial"
"13",2,"A25D","D",0.0007488504759959,0,1,0.0332424215663949,61,"Glial"
"14",3,"C21D","D",0.00815778575418181,0,1,0.0332424215663949,61,"Glial"
"15",4,"T11D","E",0.693402238649436,1,1,0.0332424215663949,61,"Glial"
"16",5,"T13D","D",0.02158558001519,0,1,0.0332424215663949,61,"Glial"
"17",6,"T14D","D",0.0474576353337312,0,1,0.0332424215663949,61,"Glial"
"18",7,"T17D","NF",0.0162199829535664,0,1,0.0332424215663949,61,"Glial"
"19",8,"T19D","D",0.0112325803654732,0,1,0.0332424215663949,61,"Glial"
"20",9,"T5D","D",0.09140697746522,0,1,0.0332424215663949,61,"Glial"
"21",0,"A12D","E",0.640989698090174,1,2,0.495272878342112,24,"Glial"
"22",1,"A22D","D",0.945929275303892,1,2,0.495272878342112,24,"Glial"
"23",2,"A25D","D",0.451605432914776,0,2,0.495272878342112,24,"Glial"
"24",3,"C21D","D",0.511821214426416,1,2,0.495272878342112,24,"Glial"
"25",4,"T11D","E",0.893978477287264,1,2,0.495272878342112,24,"Glial"
"26",5,"T13D","D",0.674224602088734,1,2,0.495272878342112,24,"Glial"
"27",6,"T14D","D",0.45056730665787,0,2,0.495272878342112,24,"Glial"
"28",7,"T17D","NF",0.277066058265385,0,2,0.495272878342112,24,"Glial"
"29",8,"T19D","D",0.0909596941373438,0,2,0.495272878342112,24,"Glial"
"30",9,"T5D","D",0.341802622865751,0,2,0.495272878342112,24,"Glial"
"31",0,"A12D","E",0.0346387105503542,0,3,0.0574106810362694,12,"GABAergic"
"32",1,"A22D","D",0.00872133555281817,0,3,0.0574106810362694,12,"GABAergic"
"33",2,"A25D","D",0.062194874208753,0,3,0.0574106810362694,12,"GABAergic"
"34",3,"C21D","D",0.00305499193444801,0,3,0.0574106810362694,12,"GABAergic"
"35",4,"T11D","E",0.8013652938578,1,3,0.0574106810362694,12,"GABAergic"
"36",5,"T13D","D",0.0138344613894063,0,3,0.0574106810362694,12,"GABAergic"
"37",6,"T14D","D",0.168020046549407,0,3,0.0574106810362694,12,"GABAergic"
"38",7,"T17D","NF",0.521751321413909,1,3,0.0574106810362694,12,"GABAergic"
"39",8,"T19D","D",0.00895795349842532,0,3,0.0574106810362694,12,"GABAergic"
"40",9,"T5D","D",0.137091104120628,0,3,0.0574106810362694,12,"GABAergic"
"41",0,"A12D","E",0.194703735757435,0,4,0.0629988937829244,23,"Glutamatergic"
"42",1,"A22D","D",0.0258982290797525,0,4,0.0629988937829244,23,"Glutamatergic"
"43",2,"A25D","D",0.0234994269801989,0,4,0.0629988937829244,23,"Glutamatergic"
