,individual,status,prediction,binary,cluster,n_degs
0,A12D,E,0.5663293419528685,1,0,19
1,A22D,D,0.3323805772866194,0,0,19
2,A25D,D,0.037381559187241245,0,0,19
3,C21D,D,0.02796395870657668,0,0,19
4,T11D,E,0.3999881698228763,0,0,19
5,T13D,D,0.3090108999665051,0,0,19
6,T14D,D,0.654317603085486,1,0,19
7,T17D,NF,0.00943155996820002,0,0,19
8,T19D,D,0.007258877651590388,0,0,19
9,T5D,D,0.5576816179103318,1,0,19
0,A12D,E,0.03145322953600189,0,1,32
1,A22D,D,0.013295020354603525,0,1,32
2,A25D,D,7.101511255172094e-05,0,1,32
3,C21D,D,0.0008371562439014066,0,1,32
4,T11D,E,0.6813451841319531,1,1,32
5,T13D,D,0.0015126631850590608,0,1,32
6,T14D,D,0.010220625821788764,0,1,32
7,T17D,NF,0.0024085217470357968,0,1,32
8,T19D,D,0.005154514944801629,0,1,32
9,T5D,D,0.025468806751013266,0,1,32
0,A12D,E,0.24838404866057082,0,2,10
1,A22D,D,0.5942470738512338,1,2,10
2,A25D,D,0.4848779926997983,0,2,10
3,C21D,D,0.5944109203445234,1,2,10
4,T11D,E,0.07129697927794101,0,2,10
5,T13D,D,0.9518993422330112,1,2,10
6,T14D,D,0.9357710798841654,1,2,10
7,T17D,NF,0.4612967122093101,0,2,10
8,T19D,D,0.1640311153681115,0,2,10
9,T5D,D,0.93368283463345,1,2,10
0,A12D,E,0.015145038873337966,0,3,3
1,A22D,D,0.46700336031073075,0,3,3
2,A25D,D,0.8554128110252578,1,3,3
3,C21D,D,0.209919172770994,0,3,3
4,T11D,E,0.3134878973848029,0,3,3
5,T13D,D,0.17251583111670213,0,3,3
6,T14D,D,0.004388700507599072,0,3,3
7,T17D,NF,0.3831797013317348,0,3,3
8,T19D,D,0.0021326921816563877,0,3,3
9,T5D,D,0.14804032871581116,0,3,3
0,A12D,E,0.26834371836337767,0,4,7
1,A22D,D,0.018578102147860036,0,4,7
2,A25D,D,0.05490476558275381,0,4,7
3,C21D,D,0.04582813776307763,0,4,7
4,T11D,E,0.06082687061481093,0,4,7
5,T13D,D,0.11325370225464161,0,4,7
6,T17D,NF,0.03583912815576228,0,4,7
7,T19D,D,0.00030014835026095563,0,4,7
8,T5D,D,0.23965038136976902,0,4,7
0,A12D,E,0.05340813336763258,0,5,4
1,A22D,D,0.9968130618265103,1,5,4
2,A25D,D,0.9999999952301564,1,5,4
3,C21D,D,0.9994668814671231,1,5,4
4,T11D,E,0.9378236303641161,1,5,4
5,T13D,D,0.2548378906778976,0,5,4
6,T14D,D,0.9943063590874502,1,5,4
7,T17D,NF,0.787463645054143,1,5,4
8,T19D,D,0.6913106769775309,1,5,4
9,T5D,D,0.996950235064796,1,5,4
0,A12D,E,0.9882394660312499,1,6,31
1,A22D,D,0.06472174763122439,0,6,31
2,A25D,D,0.002115550869553304,0,6,31
3,C21D,D,0.0012715342742481773,0,6,31
4,T11D,E,0.6934568835955905,1,6,31
5,T13D,D,0.02221436102728374,0,6,31
6,T14D,D,0.0033252040081105812,0,6,31
7,T17D,NF,0.991732644877255,1,6,31
8,T19D,D,0.014645860996010299,0,6,31
9,T5D,D,0.004910888136448009,0,6,31
0,A12D,E,0.3950178267309183,0,7,1
